,Date,Daily Return
0,2016-01-04,-0.004189080357142858
1,2016-01-05,0.008168571428571428
2,2016-01-06,0.010959696428571428
3,2016-01-07,0.008279526785714284
4,2016-01-08,0.0021796517857142848
5,2016-01-11,-0.007203758928571428
6,2016-01-12,0.003922580357142859
7,2016-01-13,0.0032576160714285693
8,2016-01-14,0.0021552678571428565
9,2016-01-15,0.007551214285714284
10,2016-01-19,0.008427955357142856
11,2016-01-20,0.004121366071428572
12,2016-01-21,0.0010271607142857148
13,2016-01-22,0.0022583125000000025
14,2016-01-25,0.006743535714285714
15,2016-01-26,-0.004870517857142857
16,2016-01-27,-0.004497553571428571
17,2016-01-28,-0.004849035714285712
18,2016-01-29,0.0018930714285714293
19,2016-02-01,0.0003135178571428579
20,2016-02-02,0.003428080357142857
21,2016-02-03,-0.000526651785714285
22,2016-02-04,-0.011162589285714286
23,2016-02-05,-0.011570805555555556
24,2016-02-08,-0.002175527777777777
25,2016-02-09,0.002541083333333334
26,2016-02-10,0.010833
27,2016-02-11,0.004264277777777777
28,2016-02-12,-0.003918083333333333
29,2016-02-16,-0.00023933333333333228
30,2016-02-17,0.0012152499999999976
31,2016-02-18,0.0014897499999999998
32,2016-02-19,0.003328583333333333
33,2016-02-22,-0.00030397222222222284
34,2016-02-23,0.005232333333333333
35,2016-02-24,-7.622222222222218e-05
36,2016-02-25,0.006305714285714287
37,2016-02-26,-0.0036884214285714282
38,2016-02-29,0.001705764285714285
39,2016-03-01,-0.003446878571428568
40,2016-03-02,-0.002836407142857143
41,2016-03-03,-0.005275200000000001
42,2016-03-04,-0.003541621428571429
43,2016-03-07,-0.009594957142857142
44,2016-03-08,0.010650907142857142
45,2016-03-09,-0.003331857142857143
46,2016-03-10,-0.0005187571428571431
47,2016-03-11,0.001194792857142858
48,2016-03-14,0.003906071428571428
49,2016-03-15,0.002068778571428571
50,2016-03-16,6.897857142857322e-05
51,2016-03-17,-0.00896127857142857
52,2016-03-18,-0.006847835714285714
53,2016-03-21,0.004441042857142857
54,2016-03-22,0.0047105428571428565
55,2016-03-23,0.0007128928571428557
56,2016-03-24,0.0002682214285714285
57,2016-03-28,0.0019555714285714285
58,2016-03-29,0.004045357142857142
59,2016-03-30,-0.0022802214285714286
60,2016-03-31,0.0006922142857142858
61,2016-04-01,0.006219478571428573
62,2016-04-04,0.002398178571428571
63,2016-04-05,-0.0005421785714285718
64,2016-04-06,0.0036032428571428562
65,2016-04-07,0.003791564285714285
66,2016-04-08,-0.006161264285714285
67,2016-04-11,-0.0026388285714285717
68,2016-04-12,-0.007010571428571427
69,2016-04-13,-0.006986735714285713
70,2016-04-14,-0.0019693
71,2016-04-15,0.005080207142857142
72,2016-04-18,0.0032325071428571427
73,2016-04-19,-0.006062407142857142
74,2016-04-20,-0.0035727214285714284
75,2016-04-21,-0.0008163285714285718
76,2016-04-22,-0.005163928571428572
77,2016-04-25,0.004675735714285714
78,2016-04-26,-0.006400557142857142
79,2016-04-27,-0.005080178571428571
80,2016-04-28,0.006168821428571428
81,2016-04-29,0.0032029071428571424
82,2016-05-02,-0.0005298071428571419
83,2016-05-03,0.0036643499999999985
84,2016-05-04,0.008586021428571428
85,2016-05-05,0.004142471428571428
86,2016-05-06,-0.0005168785714285708
87,2016-05-09,0.009405257142857143
88,2016-05-10,-0.003838392857142857
89,2016-05-11,-0.003672221428571428
90,2016-05-12,0.004150207142857142
91,2016-05-13,0.005743271428571428
92,2016-05-16,-0.0011745142857142853
93,2016-05-17,-0.005952400000000002
94,2016-05-18,-0.007484957142857142
95,2016-05-19,0.007215757142857142
96,2016-05-20,-0.0012098071428571424
97,2016-05-23,-0.0009836071428571426
98,2016-05-24,0.0009948357142857151
99,2016-05-25,-0.008463949999999998
100,2016-05-26,0.0018971285714285712
101,2016-05-27,0.00011005714285714305
102,2016-05-31,-0.0016255285714285713
103,2016-06-01,-0.0011260499999999998
104,2016-06-02,0.0023525000000000013
105,2016-06-03,0.0011025642857142848
106,2016-06-06,-0.0046737285714285705
107,2016-06-07,-0.0016759785714285712
108,2016-06-08,-0.002986635714285714
109,2016-06-09,0.0022472571428571422
110,2016-06-10,0.005164271428571427
111,2016-06-13,0.002359321428571428
112,2016-06-14,0.0052338714285714285
113,2016-06-15,0.0006579428571428571
114,2016-06-16,-0.00026995714285714276
115,2016-06-17,-0.0034986285714285704
116,2016-06-20,-0.002351342857142857
117,2016-06-21,0.0007695142857142858
118,2016-06-22,0.0015545571428571426
119,2016-06-23,-0.006431557142857142
120,2016-06-24,0.01611580714285714
121,2016-06-27,0.009085649999999999
122,2016-06-28,-0.0029676142857142846
123,2016-06-29,-1.2899999999995164e-05
124,2016-06-30,-0.005030107142857142
125,2016-07-01,0.0022315857142857142
126,2016-07-05,0.008168621428571428
127,2016-07-06,-0.0018528571428571422
128,2016-07-07,-0.0026496071428571424
129,2016-07-08,-0.005458785714285713
130,2016-07-11,-0.0016874214285714283
131,2016-07-12,-0.004605721428571428
132,2016-07-13,-0.0023686928571428575
133,2016-07-14,-0.0048844785714285705
134,2016-07-15,-0.0022775071428571426
135,2016-07-18,-0.0022717285714285713
136,2016-07-19,0.001985092857142857
137,2016-07-20,0.0019205928571428567
138,2016-07-21,0.0042037285714285715
139,2016-07-22,-0.004840964285714284
140,2016-07-25,0.0010824999999999997
141,2016-07-26,-0.012773721428571428
142,2016-07-27,0.0002505714285714288
143,2016-07-28,0.0007810714285714287
144,2016-07-29,0.0016473642857142857
145,2016-08-01,0.0030083428571428573
146,2016-08-02,0.004333064285714283
