,Date,Daily Return
0,2016-01-04,-0.0041918103619622595
1,2016-01-05,0.008168462630638671
2,2016-01-06,0.01082980926500244
3,2016-01-07,0.008266514426003374
4,2016-01-08,0.002332627264037284
5,2016-01-11,-0.007209547215412505
6,2016-01-12,0.003922654959764859
7,2016-01-13,0.0032576479357635697
8,2016-01-14,0.002155167564187819
9,2016-01-15,0.007574828829020216
10,2016-01-19,0.008427981684721293
11,2016-01-20,0.00412125825709492
12,2016-01-21,0.0010270665097685042
13,2016-01-22,0.002258323519427254
14,2016-01-25,0.006743510404971931
15,2016-01-26,-0.0048706550990214375
16,2016-01-27,-0.004497585580075549
17,2016-01-28,-0.0048524790174480316
18,2016-01-29,0.0018875851058616062
19,2016-02-01,0.00031363191272633806
20,2016-02-02,0.0034315325618558276
21,2016-02-03,-0.0005316034439663014
22,2016-02-04,-0.011162538358914176
23,2016-02-05,-0.011570869617561725
24,2016-02-08,-0.0021754271471713864
25,2016-02-09,0.0025410018153831124
26,2016-02-10,0.010845179926905816
27,2016-02-11,0.0042642996915625165
28,2016-02-12,-0.003918136059174602
29,2016-02-16,-0.0002391437275451457
30,2016-02-17,0.0012152188574383535
31,2016-02-18,0.0014897862274276927
32,2016-02-19,0.0033284733959249736
33,2016-02-22,-0.00030391792079291534
34,2016-02-23,0.00523222608963043
35,2016-02-24,-7.612460303439239e-05
36,2016-02-25,0.006307105972465471
37,2016-02-26,-0.003688445087000775
38,2016-02-29,0.0017059518232550924
39,2016-03-01,-0.003446767362937018
40,2016-03-02,-0.0028364569983096574
41,2016-03-03,-0.005276347036309493
42,2016-03-04,-0.0035415356901551532
43,2016-03-07,-0.009595074843004965
44,2016-03-08,0.010650916353071922
45,2016-03-09,-0.0033320917254575227
46,2016-03-10,-0.0005188299676966349
47,2016-03-11,0.0011947055247561802
48,2016-03-14,0.003906259786007341
49,2016-03-15,0.0020688404321322048
50,2016-03-16,6.904292129622839e-05
51,2016-03-17,-0.008961460392007719
52,2016-03-18,-0.006847748365980075
53,2016-03-21,0.004440926873176824
54,2016-03-22,0.004710559328591556
55,2016-03-23,0.0007128515432253678
56,2016-03-24,0.0002683006964582321
57,2016-03-28,0.0019556023239097535
58,2016-03-29,0.004045374527825292
59,2016-03-30,-0.0022819983417233175
60,2016-03-31,0.0006924020369214556
61,2016-04-01,0.006219313323088568
62,2016-04-04,0.0023997492245868175
63,2016-04-05,-0.0005422068333362795
64,2016-04-06,0.0036031758280265845
65,2016-04-07,0.003791615567219137
66,2016-04-08,-0.006158460515732846
67,2016-04-11,-0.002638796760398342
68,2016-04-12,-0.007010424728363447
69,2016-04-13,-0.006986854684534576
70,2016-04-14,-0.001969207866387206
71,2016-04-15,0.005080393999635111
72,2016-04-18,0.003232398877938729
73,2016-04-19,-0.00605614873615037
74,2016-04-20,-0.0035790948911996454
75,2016-04-21,-0.0008137517142518529
76,2016-04-22,-0.0051639445330923794
77,2016-04-25,0.004675719206195414
78,2016-04-26,-0.006400448423308333
79,2016-04-27,-0.005080213587819435
80,2016-04-28,0.0061761043113441536
81,2016-04-29,0.003202849891867833
82,2016-05-02,-0.000529798577955283
83,2016-05-03,0.0036615859601397916
84,2016-05-04,0.008586096309972778
85,2016-05-05,0.004142437841759155
86,2016-05-06,-0.0005169060738224639
87,2016-05-09,0.009405334137039027
88,2016-05-10,-0.0038382832469216264
89,2016-05-11,-0.0036701333992904214
90,2016-05-12,0.0041503350669750165
91,2016-05-13,0.00574321681141108
92,2016-05-16,-0.0011745960770494857
93,2016-05-17,-0.005952447954489944
94,2016-05-18,-0.007484935243297033
95,2016-05-19,0.007215793437562768
96,2016-05-20,-0.0012098303712330131
97,2016-05-23,-0.0009834504378209404
98,2016-05-24,0.000994748982598246
99,2016-05-25,-0.008463855160888331
100,2016-05-26,0.0018972659939568105
101,2016-05-27,0.00010823729577602501
102,2016-05-31,-0.0016255203307050715
103,2016-06-01,-0.0011260818278445842
104,2016-06-02,0.002351922081009198
105,2016-06-03,0.0011027512610451975
106,2016-06-06,-0.004673741341634289
107,2016-06-07,-0.0016760076493630184
108,2016-06-08,-0.0029867238796169996
109,2016-06-09,0.002247241497893339
110,2016-06-10,0.0051688832982976305
111,2016-06-13,0.0023547814190325797
112,2016-06-14,0.0052339037743088365
113,2016-06-15,0.0006583436593630055
114,2016-06-16,-0.00027009216742880746
115,2016-06-17,-0.003498643431380171
116,2016-06-20,-0.00235133307657621
117,2016-06-21,0.0007694429266158615
118,2016-06-22,0.0015545380254563558
119,2016-06-23,-0.006431496653125585
120,2016-06-24,0.016115840601961074
121,2016-06-27,0.009085826013950509
122,2016-06-28,-0.002967579374722162
123,2016-06-29,-7.837280612274858e-06
124,2016-06-30,-0.0050302311701001315
125,2016-07-01,0.0022366643270436575
126,2016-07-05,0.00816860684323185
127,2016-07-06,-0.001852904651272995
128,2016-07-07,-0.00264959619262178
129,2016-07-08,-0.005458744295984565
130,2016-07-11,-0.001687297950536919
131,2016-07-12,-0.004605745468745806
132,2016-07-13,-0.0023698261006435
133,2016-07-14,-0.004884486903124936
134,2016-07-15,-0.002277630826650836
135,2016-07-18,-0.002270826879355743
136,2016-07-19,0.0019852689786689685
137,2016-07-20,0.001920515032406518
138,2016-07-21,0.004203739759917362
139,2016-07-22,-0.004840951364089085
140,2016-07-25,0.0010824824734102486
141,2016-07-26,-0.012773630549651183
142,2016-07-27,0.0002506542518871445
143,2016-07-28,0.0007849373307521827
144,2016-07-29,0.0016473699310447234
145,2016-08-01,0.0030084566955309706
146,2016-08-02,0.004330857711097798
